scores,videos,usertimes,systemtimes,userid,sanityscore
5,1.mp4,94677,18999,A1V6P1ZE6Q8YEW,2
1,2.mp4,34710,13080,A1V6P1ZE6Q8YEW,5
2,3.mp4,17766,16713,A1V6P1ZE6Q8YEW,5
2,4.mp4,17401,6398,A1V6P1ZE6Q8YEW,5
1,5.mp4,25343,7318,A1V6P1ZE6Q8YEW,4
1,6.mp4,18160,9456,A1V6P1ZE6Q8YEW,4
5,1.mp4,71767,29643,A315IS7QIVORIT,2
1,2.mp4,18074,19194,A315IS7QIVORIT,5
2,3.mp4,19127,10352,A315IS7QIVORIT,3
2,4.mp4,15916,7034,A315IS7QIVORIT,5
2,5.mp4,17230,27062,A315IS7QIVORIT,4
3,6.mp4,15770,7440,A315IS7QIVORIT,5
5,1.mp4,21451,3153,A183WYXN12P2TJ,2
1,2.mp4,12688,3316,A183WYXN12P2TJ,5
1,3.mp4,13386,3656,A183WYXN12P2TJ,5
2,4.mp4,12954,3713,A183WYXN12P2TJ,4
1,5.mp4,12444,3408,A183WYXN12P2TJ,4
2,6.mp4,13263,1950,A183WYXN12P2TJ,5
5,1.mp4,59676,18422,A18LFH7XW61JO9,2
1,2.mp4,55381,15114,A18LFH7XW61JO9,5
3,3.mp4,25087,8645,A18LFH7XW61JO9,3
4,4.mp4,47431,7303,A18LFH7XW61JO9,4
3,5.mp4,41779,6954,A18LFH7XW61JO9,4
3,6.mp4,42245,11828,A18LFH7XW61JO9,4
5,1.mp4,33296,8256,A29ZTHY1OB4IC8,2
1,2.mp4,16858,5685,A29ZTHY1OB4IC8,5
3,3.mp4,16095,8057,A29ZTHY1OB4IC8,3
2,4.mp4,16702,15321,A29ZTHY1OB4IC8,4
1,5.mp4,16691,5515,A29ZTHY1OB4IC8,4
1,6.mp4,16402,5607,A29ZTHY1OB4IC8,4
5,1.mp4,212435,17755,A9MYC5IGQ2DO4,2
1,2.mp4,27812,10109,A9MYC5IGQ2DO4,5
3,3.mp4,18741,7960,A9MYC5IGQ2DO4,5
5,4.mp4,51383,14307,A9MYC5IGQ2DO4,5
3,5.mp4,22741,6717,A9MYC5IGQ2DO4,5
4,6.mp4,18423,11404,A9MYC5IGQ2DO4,5
5,1.mp4,253336,16618,AISFU4P55HYEH,2
1,2.mp4,43726,12938,AISFU4P55HYEH,5
2,3.mp4,169786,25616,AISFU4P55HYEH,3
2,4.mp4,36596,14855,AISFU4P55HYEH,5
2,5.mp4,322065,9101,AISFU4P55HYEH,5
2,6.mp4,54746,8276,AISFU4P55HYEH,3
5,1.mp4,45886,8316,AOAZMLP27GD81,2
1,2.mp4,14139,6241,AOAZMLP27GD81,5
4,3.mp4,14563,6158,AOAZMLP27GD81,3
3,4.mp4,15671,10027,AOAZMLP27GD81,5
2,5.mp4,14178,4480,AOAZMLP27GD81,4
3,6.mp4,15280,6392,AOAZMLP27GD81,5
5,1.mp4,81064,9089,AAWX7QFQUNM6D,2
1,2.mp4,23452,9910,AAWX7QFQUNM6D,5
4,3.mp4,28171,9699,AAWX7QFQUNM6D,3
3,4.mp4,45753,11386,AAWX7QFQUNM6D,3
2,5.mp4,36483,14707,AAWX7QFQUNM6D,5
2,6.mp4,36957,15201,AAWX7QFQUNM6D,5
5,1.mp4,38722,7506,A9EVF0SO2IUJ0,2
1,2.mp4,17041,6480,A9EVF0SO2IUJ0,5
3,3.mp4,30708,7486,A9EVF0SO2IUJ0,3
3,4.mp4,30659,12556,A9EVF0SO2IUJ0,5
2,5.mp4,33759,10975,A9EVF0SO2IUJ0,4
2,6.mp4,17075,5453,A9EVF0SO2IUJ0,5
5,1.mp4,22053,8337,A5LYLHG880ABE,2
1,2.mp4,16040,10924,A5LYLHG880ABE,5
5,3.mp4,16402,7192,A5LYLHG880ABE,2
4,4.mp4,25101,32045,A5LYLHG880ABE,2
1,5.mp4,24719,4209,A5LYLHG880ABE,5
1,6.mp4,33137,7903,A5LYLHG880ABE,5
5,1.mp4,106780,7247,A1DVKS3R9SLQ1H,2
1,2.mp4,40473,5845,A1DVKS3R9SLQ1H,5
4,3.mp4,15777,132388,A1DVKS3R9SLQ1H,2
5,4.mp4,19711,11940,A1DVKS3R9SLQ1H,2
3,5.mp4,18864,67081,A1DVKS3R9SLQ1H,3
5,6.mp4,18751,6703,A1DVKS3R9SLQ1H,2
5,1.mp4,40558,5306,A3CJVRJ34U70Y9,2
1,2.mp4,17676,7530,A3CJVRJ34U70Y9,5
1,3.mp4,14983,5507,A3CJVRJ34U70Y9,5
4,4.mp4,17489,8365,A3CJVRJ34U70Y9,4
4,5.mp4,17385,5343,A3CJVRJ34U70Y9,4
3,6.mp4,15466,6790,A3CJVRJ34U70Y9,4
5,1.mp4,48003,4241,A1NKBXOTZAI1YK,2
1,2.mp4,13861,2992,A1NKBXOTZAI1YK,5
3,3.mp4,14064,6199,A1NKBXOTZAI1YK,3
3,4.mp4,14568,4130,A1NKBXOTZAI1YK,5
2,5.mp4,23231,3644,A1NKBXOTZAI1YK,4
2,6.mp4,18371,3446,A1NKBXOTZAI1YK,5
5,1.mp4,267028,8216,A13XXMDHOULEZ7,2
1,2.mp4,25900,9499,A13XXMDHOULEZ7,5
4,3.mp4,26219,31677,A13XXMDHOULEZ7,3
4,4.mp4,36975,11162,A13XXMDHOULEZ7,3
2,5.mp4,61026,17509,A13XXMDHOULEZ7,5
4,6.mp4,0,81423,A13XXMDHOULEZ7,3
